img,x,y,w,h,theta
3592995717151978677,681,354,232.35931396484375,72.11932373046875,0.7407902311067954
3592995717151978677,1232,854,261.75439580150106,72.61351013183594,1.0210746982643655
3592995717151978677,1007,503,270.0138564720605,72.770751953125,0.9041496748199488
3592995717151978677,1197,833,190.1445322250907,71.5555648803711,1.0248737372942083
3592995717151978677,1187,802,165.46313566719977,71.29862976074219,0.9898344774953927
3592995717151978677,688,368,183.62689318113715,71.4842529296875,0.9724282501008852
3592995717151978677,1211,702,279.8200699090688,72.96554565429688,1.064195212270909
3592995717151978677,1100,754,212.47161983310292,71.83563232421875,0.9075626448298332
3592995717151978677,1272,835,184.92907821887206,71.49685668945312,0.8544046795421534
3592995717151978677,1166,852,283.0975357691163,73.03160858154297,1.2083839322685426
3592995717151978677,636,338,268.4432997763263,72.73883056640625,0.9983105291765089
3592995717151978677,925,455,154.0265511041802,71.19534301757812,0.669211843443517
