img,x,y,w,h,theta
7730450117510028711,1423,506,268.706787109375,72.93817138671875,1.4005787449530296
7730450117510028711,683,538,254.0258191217915,72.67848205566406,1.6808544248331077
7730450117510028711,1290,624,253.47888319464275,72.66740417480469,1.9372740911156567
7730450117510028711,605,442,255.5065016299425,72.70294189453125,1.4832732322942328
7730450117510028711,1119,612,220.1067516436634,72.1436767578125,1.649597923877594
7730450117510028711,1367,509,189.99780386100403,71.75454711914062,1.6321864198060247
7730450117510028711,799,506,241.63134883475212,72.46975708007812,1.6999691600374067
7730450117510028711,1054,583,154.2467050652831,71.40107727050781,1.723977258425027
7730450117510028711,858,597,249.16967910375024,72.59492492675781,1.5673172529037438
7730450117510028711,1404,625,281.0871597426374,73.18685913085938,1.5141697446672466
7730450117510028711,688,554,182.10156347032648,71.67091369628906,1.4366145189631416
7730450117510028711,1463,644,166.8409434213619,71.50611877441406,1.8681547940514265
