img,x,y,w,h,theta
m6413478228395152427,885,313,202.75299072265625,71.90667724609375,0.23711613397834516
m6413478228395152427,751,217,244.79406869960061,72.51638793945312,0.3651349802041246
m6413478228395152427,1109,1035,234.50683713401418,72.34476375579834,0.773819089987333
m6413478228395152427,875,156,261.1624158879778,72.79940795898438,0.3198414366475103
m6413478228395152427,1063,1000,247.9721691690896,72.56432342529297,0.4861635370669925
m6413478228395152427,838,328,165.9583749869696,71.50338745117188,0.46874949943728966
m6413478228395152427,840,310,184.75848498459555,71.69647216796875,0.5365436910413071
m6413478228395152427,1121,829,199.56726186277896,71.86907958984375,0.5605205217795843
m6413478228395152427,1050,924,220.72631953187084,72.14577102661133,0.40388995426882246
m6413478228395152427,1083,1038,162.51971527783726,71.46256041526794,0.3507215173385547
m6413478228395152427,1041,625,172.80548183561837,71.57028198242188,0.2731510531902619
m6413478228395152427,1115,1059,152.39453216908365,71.37155437469482,0.704706695558915
m6413478228395152427,936,296,205.9793712123155,71.9495849609375,0.49463739139373775
m6413478228395152427,902,149,177.9223643734562,71.619873046875,0.48783437657156403
m6413478228395152427,861,446,157.63452246446005,71.42706298828125,0.16553441533441718
