img,x,y,w,h,theta
3185886740873274907,972,517,151.60113613637077,71.38018798828125,-0.39382597368952055
3185886740873274907,1194,249,185.19983021682734,71.70657348632812,-0.5460889600444596
3185886740873274907,708,991,210.214417557786,72.00324630737305,-0.13742879499098054
3185886740873274907,1101,188,256.6933594391167,72.72393798828125,-0.591388209728036
3185886740873274907,769,953,254.45660530055594,72.68325424194336,-0.425095334839808
3185886740873274907,1107,354,183.36285510344504,71.68643188476562,-0.4424767093049015
3185886740873274907,1024,337,186.7240000900962,71.72344970703125,-0.3747051828149903
3185886740873274907,679,881,233.22424448376952,72.33717346191406,-0.46854188412107906
3185886740873274907,1130,180,162.07910254237078,71.47073364257812,-0.7069055182562691
3185886740873274907,1169,182,252.54370258037372,72.65280151367188,-0.8029175732318192
3185886740873274907,848,746,155.7012948401673,71.41522216796875,-0.6540097807803532
