img,x,y,w,h,theta
711887133617426817,691,642,166.7666025083168,71.30935668945312,-1.367106776254641
711887133617426817,1499,531,157.253663085023,71.21087646484375,-1.4839994511892833
711887133617426817,611,630,150.89611903418643,71.16546630859375,-1.3632830977997854
711887133617426817,569,608,279.75308367203615,72.959228515625,-1.3983278197730669
711887133617426817,655,504,175.60577499166504,71.39553833007812,-1.4157403954679835
711887133617426817,1133,500,243.6569837384556,72.2989501953125,-1.3479022949113966
711887133617426817,1314,590,250.03308251666303,72.40423583984375,-1.480621687205069
711887133617426817,552,632,229.29840222451224,72.06875610351562,-1.5337641699630467
711887133617426817,1373,547,181.3505869309178,71.45309448242188,-1.6113202476850497
711887133617426817,620,641,199.39953728366646,71.66403198242188,-1.1797614198988315
