img,x,y,w,h,theta
m9002393011510626618,1316,653,180.53625586473234,71.6474609375,1.917064964387154
m9002393011510626618,683,454,151.85913173377818,71.37570190429688,1.4630681138223274
m9002393011510626618,1228,628,280.2757581876915,73.17074584960938,1.6293720827166758
m9002393011510626618,886,498,175.42651473884797,71.595703125,1.679781414282885
m9002393011510626618,905,596,205.57409779279672,71.94305419921875,1.5471195255063852
m9002393011510626618,1302,655,226.2110607939846,72.22511291503906,1.4939594746096059
m9002393011510626618,626,546,180.60235687291265,71.64814758300781,1.4163884017205275
m9002393011510626618,1219,668,165.77136328916103,71.50028991699219,1.8479363222815086
m9002393011510626618,1171,495,268.30468888092975,72.93438720703125,1.6378498799005037
m9002393011510626618,465,451,270.876588478634,72.97537231445312,1.6310516170602225
