img,x,y,w,h,theta
m6855341910671533161,1345,453,150.8675537109375,71.16461181640625,-1.3664365618793988
m6855341910671533161,656,734,155.31945895137352,71.20597839355469,-1.0861509723231622
m6855341910671533161,669,718,171.11541849972608,71.3546142578125,-1.0823710710243009
m6855341910671533161,1423,353,240.33044561977528,72.24072265625,-1.2837063888145597
m6855341910671533161,718,692,209.9555065304568,71.80308532714844,-1.1174080758698735
m6855341910671533161,613,610,196.33139137065476,71.62936401367188,-1.0430475643439494
m6855341910671533161,695,646,239.27313352960343,72.23057556152344,-1.1996547646945668
m6855341910671533161,646,720,167.64422696406382,71.31883239746094,-1.2528346757890625
m6855341910671533161,1041,552,154.33197113421812,71.1990966796875,-1.3303980109911226
m6855341910671533161,634,732,152.47784503573442,71.18145751953125,-0.898847545186817
m6855341910671533161,1411,346,255.6851820744223,72.5,-1.115726350460136
m6855341910671533161,977,500,206.12310910746515,71.75311279296875,-1.4380158188595358
m6855341910671533161,1233,491,179.81933686975827,71.44403076171875,-1.383144283353298
